coin,date,open,high,low,close,volume
BTC,2020-07-21,9164.42,9435.55,9162.25,9392.83,337645738.93
BTC,2020-07-22,9392.83,9551.87,9289.85,9537.24,281661129.12
BTC,2020-07-23,9537.24,9675.5,9458.25,9615.21,415079930.39
BTC,2020-07-24,9615.21,9647.83,9477.19,9550.23,323092524.09
BTC,2020-07-25,9550.23,9744.72,9536.76,9708.41,233301043.7
BTC,2020-07-26,9708.41,10140.55,9659.08,9942.01,417337407.31
BTC,2020-07-27,9942.01,11397.48,9935.51,11042.94,1363674374.42
BTC,2020-07-28,11042.94,11253.39,10590.98,10933.26,938667838.04
BTC,2020-07-29,10933.26,11348.53,10854.04,11112.04,689206497.21
BTC,2020-07-30,11112.04,11182.76,10875.14,11113.66,503563543.58
BTC,2020-07-31,11113.66,11454.11,10981.87,11352.72,608151203.91
BTC,2020-08-01,11352.72,11874.77,11240.98,11812.42,741252933.72
BTC,2020-08-02,11812.42,12106.89,10694.22,11063.5,721639453.44
BTC,2020-08-03,11063.5,11476.29,10945.66,11234.73,473995003.36
BTC,2020-08-04,11234.73,11415.16,11021.07,11194.18,393301819.23
BTC,2020-08-05,11194.18,11791.62,11095.47,11752.05,555395574.17
BTC,2020-08-06,11752.05,11909.81,11577.8,11771.27,587033759.68
BTC,2020-08-07,11771.27,11912.62,11350.42,11603.82,651142052.53
BTC,2020-08-08,11603.82,11811.4,11534.87,11770.77,271582305.12
BTC,2020-08-09,11770.77,11802.93,11533.93,11686.34,231830330.42
BTC,2020-08-10,11686.34,12074.31,11640.41,11897.41,667803525.71
BTC,2020-08-11,11897.41,11940.4,11138.6,11389.01,724227264.93
BTC,2020-08-12,11389.01,11621.05,11182.8,11570.19,430758054.54
BTC,2020-08-13,11570.19,11795.34,11284.57,11790.68,487564726.98
BTC,2020-08-14,11790.68,11863.43,11657.2,11774.52,437825096.08
BTC,2020-08-15,11774.52,11981.62,11697.88,11860.91,369258184.57
BTC,2020-08-16,11860.91,11934.96,11701.22,11917.97,260716863.02
BTC,2020-08-17,11917.97,12474.73,11775.66,12301.19,682170133.05
BTC,2020-08-18,12301.19,12397.4,11855.24,11956.69,604246043.52
BTC,2020-08-19,11956.69,12021.8,11592.2,11760.37,590122894.96
BTC,2020-08-20,11760.37,11888.72,11679.03,11863.43,510502416.84
BTC,2020-08-21,11863.43,11882.67,11494.52,11527.35,745059089.73
BTC,2020-08-22,11527.35,11686.02,11379.06,11670.42,572197825.57
BTC,2020-08-23,11670.42,11713.62,11521.6,11651.52,388308826.36
BTC,2020-08-24,11651.52,11827.45,11594.64,11756.4,459366140.6
BTC,2020-08-25,11756.4,11767.64,11130.36,11330.56,583786229.48
BTC,2020-08-26,11330.56,11542.65,11259.23,11466.89,309986442.65
BTC,2020-08-27,11466.89,11591.64,11135.52,11331.02,464957172.93
BTC,2020-08-28,11331.02,11553.81,11289.07,11535.21,353027933.9
BTC,2020-08-29,11535.21,11585.98,11433.8,11480.48,187746012.8
BTC,2020-08-30,11480.48,11718.98,11470.07,11716.54,190649396.2
BTC,2020-08-31,11716.54,11775.27,11586.36,11657.81,307926585.75
BTC,2020-09-01,11657.81,12062.06,11540.42,11926.69,537292263.85
BTC,2020-09-02,11926.69,11954.28,11219.19,11397.9,618129314.2
BTC,2020-09-03,11397.9,11469.2,10017.43,10174.62,894736678.62
BTC,2020-09-04,10174.62,10638.71,10020.02,10467.33,562742223.01
BTC,2020-09-05,10467.33,10570.95,9880.05,10167.97,614402772.13
BTC,2020-09-06,10167.97,10361.12,10019.56,10260.37,300644746.65
BTC,2020-09-07,10260.37,10411.92,9893.68,10379.08,422137373.09
BTC,2020-09-08,10379.08,10443.72,9855.68,10128.54,553186747.41
BTC,2020-09-09,10128.54,10349.09,9989.63,10228.85,346738492.44
BTC,2020-09-10,10228.85,10493.32,10221.37,10345.68,452098495.16
BTC,2020-09-11,10345.68,10412.6,10215.49,10398.5,266084892.24
BTC,2020-09-12,10398.5,10486.76,10282.43,10448.0,184001054.5
BTC,2020-09-13,10448.0,10578.97,10224.4,10332.36,299956975.1
BTC,2020-09-14,10332.36,10753.33,10259.62,10678.31,359274837.28
BTC,2020-09-15,10678.31,10936.89,10632.26,10786.7,369481767.48
BTC,2020-09-16,10786.7,11094.7,10670.02,10957.1,372894154.99
BTC,2020-09-17,10957.1,11047.25,10755.99,10945.14,293584349.54
BTC,2020-09-18,10945.14,11040.66,10823.93,10937.89,248821618.73
BTC,2020-09-19,10937.89,11173.88,10898.63,11083.61,193207449.76
BTC,2020-09-20,11083.61,11083.9,10775.23,10921.85,237773866.86
BTC,2020-09-21,10921.85,10992.25,10319.73,10418.14,473754186.1
BTC,2020-09-22,10418.14,10576.92,10365.99,10534.73,301280976.85
BTC,2020-09-23,10534.73,10546.48,10166.62,10238.09,277589382.46
BTC,2020-09-24,10238.09,10792.17,10213.75,10742.98,304956298.0
BTC,2020-09-25,10742.98,10762.38,10562.14,10694.12,360929423.35
BTC,2020-09-26,10694.12,10822.99,10658.15,10734.23,148097714.06
BTC,2020-09-27,10734.23,10810.35,10612.42,10781.47,148127427.26
BTC,2020-09-28,10781.47,10951.6,10649.18,10699.0,350615325.76
BTC,2020-09-29,10699.0,10863.02,10641.03,10841.29,334584439.48
BTC,2020-09-30,10841.29,10850.12,10666.17,10779.42,317604086.65
BTC,2020-10-01,10779.42,10926.47,10454.66,10622.79,422940486.72
BTC,2020-10-02,10622.79,10668.49,10388.07,10576.64,355424408.51
BTC,2020-10-03,10576.64,10602.28,10507.49,10552.04,110570157.37
BTC,2020-10-04,10552.04,10699.94,10534.5,10675.52,111420779.07
BTC,2020-10-05,10675.52,10799.53,10627.77,10795.11,255950434.22
BTC,2020-10-06,10795.11,10801.66,10533.32,10603.9,329346366.4
BTC,2020-10-07,10603.9,10679.76,10554.41,10672.67,208253472.75
BTC,2020-10-08,10672.67,10957.42,10541.2,10929.4,423807796.12
BTC,2020-10-09,10929.4,11109.32,10839.3,11058.78,359802403.01
BTC,2020-10-10,11058.78,11485.43,11057.98,11301.57,296925751.27
BTC,2020-10-11,11301.57,11434.1,11284.09,11375.51,202131016.49
BTC,2020-10-12,11375.51,11725.28,11223.99,11539.76,478557074.68
BTC,2020-10-13,11539.76,11561.69,11314.56,11427.29,383360256.66
BTC,2020-10-14,11427.29,11550.25,11298.88,11429.3,259711904.03
BTC,2020-10-15,11429.3,11607.59,11269.05,11508.31,377801262.9
BTC,2020-10-16,11508.31,11545.35,11224.89,11326.25,332320579.31
BTC,2020-10-17,11326.25,11410.01,11270.69,11367.65,112306061.3
BTC,2020-10-18,11367.65,11513.68,11357.25,11513.33,131886570.58
BTC,2020-10-19,11513.33,11821.95,11417.11,11756.88,456404609.75
BTC,2020-10-20,11756.88,12047.73,11688.39,11921.78,576128149.71
BTC,2020-10-21,11921.78,13236.39,11900.51,12813.11,1296152945.69
BTC,2020-10-22,12813.11,13197.69,12700.74,12990.25,739591002.3
BTC,2020-10-23,12990.25,13031.82,12732.62,12937.2,416662855.54
BTC,2020-10-24,12937.2,13167.31,12886.47,13126.13,273005904.67
BTC,2020-10-25,13126.13,13346.7,12910.39,13041.21,368884232.62
BTC,2020-10-26,13041.21,13241.79,12797.05,13069.43,460984686.3
BTC,2020-10-27,13069.43,13783.14,13060.64,13646.02,603406480.39
BTC,2020-10-28,13646.02,13855.57,12906.15,13285.97,434942187.78
BTC,2020-10-29,13285.97,13643.6,12985.56,13462.18,555737562.11
BTC,2020-10-30,13462.18,13674.89,13132.53,13565.95,756044940.71
BTC,2020-10-31,13565.95,14077.8,13432.24,13803.41,600104833.89
BTC,2020-11-01,13803.41,13897.02,13630.22,13761.72,286724152.06
BTC,2020-11-02,13761.72,13828.48,13221.65,13571.24,453096297.52
BTC,2020-11-03,13571.24,14071.54,13300.84,14023.78,300271386.78
BTC,2020-11-04,14023.78,14258.9,13539.13,14157.73,423118194.37
